iter;acc1;acc5;loss
0;0.0047;0.0265;5.69695
500;0.0238;0.1046;5.20384
1000;0.0553;0.1896;4.74733
1500;0.0960001;0.2782;4.36925
2000;0.1386;0.3555;4.06821
2500;0.1613;0.4069;3.8304
3000;0.1723;0.4227;3.73672
3500;0.2039;0.4678;3.56124
4000;0.2203;0.5024;3.42071
4500;0.2352;0.5161;3.34775
5000;0.2543;0.5293;3.28989
5500;0.2618;0.5475;3.21427
6000;0.266;0.5686;3.13089
6500;0.2736;0.5661;3.1325
7000;0.2739;0.5585;3.15663
7500;0.2864;0.5749;3.0908
8000;0.2895;0.5981;2.99445
8500;0.2919;0.5915;3.01994
9000;0.3076;0.6065;2.94151
9500;0.3153;0.6171;2.90274
10000;0.3136;0.6166;2.89556
10500;0.3207;0.6312;2.86421
11000;0.326;0.6234;2.87297
11500;0.3372;0.6464;2.7722
12000;0.3246;0.6392;2.80815
12500;0.3388;0.6366;2.79544
13000;0.3311;0.6334;2.81671
13500;0.3422;0.6568;2.73741
14000;0.3399;0.6464;2.74043
14500;0.3466;0.6493;2.75191
15000;0.3493;0.6556;2.71211
15500;0.3407;0.6607;2.70852
16000;0.3568;0.6579;2.70896
16500;0.3416;0.6534;2.72838
17000;0.3432;0.6609;2.69363
17500;0.3469;0.6657;2.67887
18000;0.3624;0.6703;2.65183
18500;0.3628;0.675;2.62528
19000;0.3497;0.6658;2.66266
19500;0.3564;0.6734;2.64154
20000;0.4052;0.71;2.43841
20500;0.4161;0.7219;2.3712
21000;0.4143;0.7303;2.33958
21500;0.4264;0.7259;2.35397
22000;0.4211;0.7332;2.35442
22500;0.4285;0.7414;2.287
23000;0.4205;0.731;2.31324
23500;0.4281;0.7307;2.33262
24000;0.4291;0.739;2.30246
24500;0.4315;0.748;2.26432
25000;0.4261;0.7395;2.28727
25500;0.4304;0.7401;2.31313
26000;0.4371;0.7443;2.25565
26500;0.4314;0.75;2.24977
27000;0.4354;0.7402;2.28359
27500;0.4346;0.7424;2.29461
28000;0.4397;0.7507;2.22809
28500;0.434;0.7457;2.25068
29000;0.4393;0.7447;2.27155
29500;0.4358;0.7487;2.24823
30000;0.4422;0.7548;2.21393
30500;0.4394;0.7485;2.24237
31000;0.433;0.7489;2.26795
31500;0.4437;0.7504;2.21772
32000;0.4385;0.7586;2.20781
32500;0.4431;0.7501;2.24204
33000;0.4412;0.7544;2.23782
33500;0.4456;0.7596;2.18483
34000;0.4388;0.7522;2.22906
34500;0.4516;0.7545;2.2216
35000;0.4443;0.7575;2.2036
35500;0.4454;0.7603;2.18677
36000;0.4466;0.7513;2.21739
36500;0.4454;0.7536;2.23731
37000;0.4498;0.7577;2.17622
37500;0.4474;0.7617;2.18793
38000;0.4463;0.754;2.21301
38500;0.4472;0.7548;2.2079
39000;0.4586;0.7664;2.14437
39500;0.4451;0.757;2.20691
40000;0.4551;0.7585;2.18818
40500;0.4456;0.7564;2.1845
41000;0.4517;0.7588;2.17232
41500;0.449;0.7579;2.19918
42000;0.4518;0.7578;2.19874
42500;0.459;0.7638;2.13636
43000;0.4541;0.7625;2.16915
43500;0.4557;0.7564;2.19137
44000;0.4513;0.7583;2.18215
44500;0.4596;0.7688;2.13752
45000;0.4485;0.7581;2.18885
45500;0.4624;0.7624;2.16297
46000;0.4566;0.7643;2.15839
46500;0.4542;0.7698;2.14006
47000;0.4557;0.7627;2.17014
47500;0.4534;0.7619;2.17964
48000;0.4628;0.7695;2.12815
48500;0.4559;0.7713;2.14819
49000;0.4539;0.7579;2.19109
49500;0.4549;0.7622;2.15715
50000;0.4568;0.7625;2.14547
50500;0.4579;0.7669;2.14245
51000;0.4596;0.7662;2.14602
51500;0.4605;0.7641;2.14763
52000;0.4644;0.7715;2.11324
52500;0.4542;0.7638;2.15219
53000;0.4591;0.7633;2.16063
53500;0.4595;0.7697;2.11558
54000;0.4631;0.7714;2.12522
54500;0.4586;0.7602;2.16645
55000;0.4718;0.7762;2.09583
55500;0.4706;0.7779;2.08065
56000;0.4687;0.7764;2.09132
56500;0.4671;0.7723;2.113
57000;0.4688;0.7782;2.09311
57500;0.4708;0.7768;2.07154
58000;0.4733;0.7744;2.10139
58500;0.4664;0.7745;2.11051
59000;0.4756;0.7819;2.05387
59500;0.4689;0.7756;2.08427
60000;0.4715;0.773;2.11308
60500;0.4706;0.7792;2.08769
61000;0.477;0.7813;2.05605
61500;0.4679;0.778;2.08679
62000;0.4682;0.7743;2.11528
62500;0.4733;0.7788;2.07068
63000;0.474;0.7817;2.06138
63500;0.4724;0.7739;2.09562
64000;0.47;0.7773;2.10713
64500;0.4752;0.7806;2.05558
65000;0.4704;0.7807;2.08275
65500;0.4732;0.7744;2.09828
66000;0.4704;0.7785;2.08041
66500;0.4794;0.7813;2.0528
67000;0.4706;0.7779;2.08213
67500;0.4693;0.7755;2.10971
68000;0.4759;0.7801;2.06012
68500;0.4756;0.783;2.06088
69000;0.4715;0.7727;2.10165
69500;0.4714;0.7775;2.10222
